N(玩家人數),k(每位玩家基準對數),pairs(使用對數),total_cards(總牌數),trials(模擬局數),odd_loss_rate(奇數玩家輸率),others_loss_rate_mean(其他玩家平均輸率),loss_rate_diff_odd_minus_others(奇數玩家輸率減其他玩家平均輸率),odd_first_out_rate(奇數玩家首位出局比例),others_first_out_rate_mean(其他玩家平均首位出局比例),odd_avg_rank(奇數玩家平均名次),others_avg_rank_mean(其他玩家平均名次),avg_turns(平均回合數),avg_initial_clears(平均開局整理後出局人數),passive_elimination_count(被動出局次數),invariant_violation_count(奇偶不變量違反次數),final_joker_error_count(結局落單牌檢查錯誤次數)
2,13,25,51,10000000,0.5006444000,0.4993556000,0.0012888000,0.4993556000,0.5006444000,1.5006444000,1.4993556000,14.6630464000,0.0000000000,0,0,0
3,8,23,47,10000000,0.3350863000,0.3324568500,0.0026294500,0.3306988000,0.3346506000,2.0043875000,1.9978062500,36.2638246000,0.0000008000,0,0,0
4,6,23,47,10000000,0.2515377000,0.2494874333,0.0020502667,0.2470218000,0.2509927333,2.5070650000,2.4976450000,66.6183615000,0.0000066000,0,0,0
5,5,24,49,10000000,0.2008781000,0.1997804750,0.0010976250,0.1969658000,0.2007585500,3.0085597000,2.9978600750,108.2196449000,0.0000209000,0,0,0
6,4,23,47,10000000,0.1678100000,0.1664380000,0.0013720000,0.1632636000,0.1673472800,3.5126567000,3.4974686600,147.4425182000,0.0001410000,0,0,0
7,3,20,41,10000000,0.1440423000,0.1426596167,0.0013826833,0.1382106000,0.1436315667,4.0218854000,3.9963524333,170.1923886000,0.0015274000,0,0,0
8,3,23,47,10000000,0.1259391000,0.1248658429,0.0010732571,0.1210640000,0.1255622857,4.5216789000,4.4969030143,250.3167927000,0.0011635000,0,0,0
9,2,17,35,10000000,0.1126626000,0.1109171750,0.0017454250,0.1038070000,0.1120241250,5.0458635000,4.9942670625,220.1583788000,0.0207362000,0,0,0
10,2,19,39,10000000,0.1012236000,0.0998640444,0.0013595556,0.0935091000,0.1007212111,5.5458802000,5.4949022000,297.3425563000,0.0186749000,0,0,0
11,2,21,43,10000000,0.0918366000,0.0908163400,0.0010202600,0.0852618000,0.0914738200,6.0438191000,5.9956180900,390.6284773000,0.0170346000,0,0,0
12,2,23,47,10000000,0.0840419000,0.0832689182,0.0007729818,0.0782925000,0.0837915909,6.5448799000,6.4959200091,501.5648236000,0.0155574000,0,0,0
13,2,25,51,10000000,0.0775939000,0.0768671750,0.0007267250,0.0721997000,0.0773166917,7.0467609000,6.9961032583,631.6630744000,0.0143530000,0,0,0
